state,office,district,mean_vote,q_025,q_975,potential_power,pr_close,pr_tip,realized_power
MI,statesenate,,0.42020526315789475,0.3157894736842105,0.5263157894736842,0.3819112922467705,0.1375126824792957,1.0,0.052517646265987664
PA,ushouse,PA-08,0.5187731777194058,0.40621287616273805,0.6332658069616846,12.5,0.3532746532389905,0.011782945736434108,0.052032700864657506
NY,ushouse,NY-18,0.5183248758871573,0.40310739407566876,0.6348223814741257,12.5,0.3532746532389905,0.011782945736434108,0.052032700864657506
MI,ushouse,MI-11,0.5127693067131811,0.39659172316169755,0.629968696382223,12.5,0.3532746532389905,0.011627906976744186,0.05134806006380675
VA,ushouse,VA-07,0.5087704848457086,0.3958748608738817,0.6208185088733709,12.5,0.3532746532389905,0.011627906976744186,0.05134806006380675
IA,ushouse,IA-01,0.48740968710706895,0.3739053785474022,0.6012849342698388,12.5,0.3532746532389905,0.01131782945736434,0.04997877846210524
VA,ushouse,VA-02,0.5303789332412773,0.4166635716893242,0.6453952519905853,12.5,0.3532746532389905,0.01131782945736434,0.04997877846210524
WA,president,,0.5994190097088518,0.4856493791218661,0.7125017719268564,25.0,0.14825317267979313,0.013431833445265278,0.049782798079178354
IN,president,,0.4185332613888529,0.30513817720596687,0.5340136194445197,25.0,0.14825317267979313,0.013431833445265278,0.049782798079178354
NJ,ushouse,NJ-07,0.5060295590273073,0.39391730811930936,0.6205427050387357,12.5,0.3532746532389905,0.011007751937984495,0.04860949686040372
PA,ushouse,PA-07,0.5181363230502403,0.4054960260244533,0.6289515285755645,12.5,0.3532746532389905,0.010852713178294573,0.04792485605955297
WA,ushouse,WA-08,0.5175419161256642,0.4033919012565922,0.6331058837123431,12.5,0.3532746532389905,0.010852713178294573,0.04792485605955297
CA,ushouse,CA-21,0.49544304388332805,0.3793170062769444,0.6109685957061655,12.5,0.3532746532389905,0.010697674418604652,0.047240215258702214
MN,ushouse,MN-01,0.4841583741797255,0.368412908382333,0.5995859848336361,12.5,0.3532746532389905,0.010697674418604652,0.047240215258702214
CA,ushouse,CA-25,0.49925753927999195,0.3831640777983142,0.6131020969123138,12.5,0.3532746532389905,0.010542635658914728,0.046555574457851454
TX,ushouse,TX-23,0.47996679478058424,0.36664916695573185,0.5977374871761736,12.5,0.3532746532389905,0.010542635658914728,0.046555574457851454
TX,ushouse,TX-07,0.5170647670384391,0.40295989202278015,0.6314783651170478,12.5,0.3532746532389905,0.010542635658914728,0.046555574457851454
IL,ushouse,IL-14,0.5063579022931711,0.3914841633159905,0.6203080395384326,12.5,0.3532746532389905,0.010542635658914728,0.046555574457851454
GA,ushouse,GA-07,0.5136233391817364,0.3997687515944588,0.6286024295218353,12.5,0.3532746532389905,0.010542635658914728,0.046555574457851454
CA,ushouse,CA-49,0.532171731616857,0.41701668714642576,0.6462442668280645,12.5,0.3532746532389905,0.010542635658914728,0.046555574457851454
MN,ushouse,MN-02,0.5122901553794277,0.39889572999214584,0.6265470473058703,12.5,0.3532746532389905,0.010232558139534883,0.04518629285614994
AK,president,,0.44713207332541544,0.33494271791721264,0.5627230143125999,25.0,0.14825317267979313,0.01208865010073875,0.044804518271260516
OR,president,,0.5839305708078819,0.47105941643079424,0.6985935877504096,25.0,0.14825317267979313,0.01208865010073875,0.044804518271260516
NV,ushouse,NV-04,0.5255358996540472,0.41046818595714896,0.6402495676226956,12.5,0.3532746532389905,0.010077519379844961,0.044501652055299185
OK,ushouse,OK-05,0.47959773527826527,0.3644128498956519,0.5946769120381095,12.5,0.3532746532389905,0.00992248062015504,0.04381701125444844
FL,ushouse,FL-13,0.5294148396446989,0.41505698181754996,0.642373730073045,12.5,0.3532746532389905,0.00992248062015504,0.04381701125444844
FL,ushouse,FL-26,0.483347071128694,0.36940828243047535,0.5967934550405934,12.5,0.3532746532389905,0.00992248062015504,0.04381701125444844
NV,ushouse,NV-03,0.5158035968579732,0.4010879921798437,0.6296454649812235,12.5,0.3532746532389905,0.009767441860465116,0.04313237045359767
TX,ushouse,TX-21,0.4660846622559573,0.3512726388302651,0.5837410469821244,12.5,0.3532746532389905,0.009767441860465116,0.04313237045359767
MO,ushouse,MO-02,0.466339587531901,0.35198043252983235,0.5802972131945073,12.5,0.3532746532389905,0.009767441860465116,0.04313237045359767
TX,ushouse,TX-15,0.5141997463140707,0.4004236209439666,0.626225876865371,12.5,0.3532746532389905,0.009612403100775194,0.04244772965274692
MI,ushouse,MI-08,0.5186636243735012,0.40370172876079913,0.6326049978065882,12.5,0.3532746532389905,0.009612403100775194,0.04244772965274692
NJ,ushouse,NJ-03,0.5398769137703392,0.42540126873257617,0.6540394190063418,12.5,0.3532746532389905,0.009612403100775194,0.04244772965274692
NY,ushouse,NY-19,0.5247434958765606,0.4122650388098087,0.6362084587599045,12.5,0.3532746532389905,0.009612403100775194,0.04244772965274692
NH,ushouse,NH-01,0.5265031389917315,0.41216831671386195,0.6410468444472676,12.5,0.3532746532389905,0.009612403100775194,0.04244772965274692
MO,president,,0.42000095945080174,0.3099600010564459,0.5351065827124266,25.0,0.14825317267979313,0.011417058428475487,0.0423153783673016
NE,ushouse,NE-02,0.47653472824814597,0.36311261243061593,0.5888165055196196,12.5,0.3532746532389905,0.00945736434108527,0.041763088851896155
CA,ushouse,CA-48,0.4899541904664067,0.3777143214097676,0.6042236403270597,12.5,0.3532746532389905,0.00945736434108527,0.041763088851896155
CA,ushouse,CA-39,0.4932253401991613,0.38088827323608476,0.6077956091834031,12.5,0.3532746532389905,0.009302325581395349,0.04107844805104541
IA,ushouse,IA-03,0.5070928203308424,0.3939464177441981,0.6201657902505712,12.5,0.3532746532389905,0.009302325581395349,0.04107844805104541
OH,ushouse,OH-13,0.5400466926000238,0.4259130845367738,0.6551561307995377,12.5,0.3532746532389905,0.009302325581395349,0.04107844805104541
WI,ushouse,WI-03,0.5126923861615436,0.3971283220869388,0.6259743958636256,12.5,0.3532746532389905,0.009302325581395349,0.04107844805104541
PA,ushouse,PA-17,0.5112142946197615,0.399025880960461,0.6247763655519022,12.5,0.3532746532389905,0.009147286821705427,0.040393807250194654
SC,ushouse,SC-01,0.4935211679169108,0.38030952947575775,0.6081937267191865,12.5,0.3532746532389905,0.009147286821705427,0.040393807250194654
AZ,ushouse,AZ-01,0.5170017897673405,0.40351097781921363,0.632119617063799,12.5,0.3532746532389905,0.009147286821705427,0.040393807250194654
ME,ushouse,ME-02,0.5379144296274185,0.423941638644995,0.6526774549331387,12.5,0.3532746532389905,0.008992248062015503,0.03970916644934389
OR,ushouse,OR-04,0.5280067673328864,0.4122760938478829,0.6419666638951698,12.5,0.3532746532389905,0.008992248062015503,0.03970916644934389
IL,ushouse,IL-17,0.5202182260989127,0.4078976434457955,0.6336237467216909,12.5,0.3532746532389905,0.008992248062015503,0.03970916644934389
OR,ushouse,OR-05,0.5337434134814036,0.41772554459959516,0.6477884669858562,12.5,0.3532746532389905,0.008837209302325582,0.03902452564849314
CA,ushouse,CA-45,0.5344406406569716,0.42145603233918905,0.650492502253146,12.5,0.3532746532389905,0.008837209302325582,0.03902452564849314
WA,statehouse,,0.5822244897959183,0.46938775510204084,0.6938775510204082,0.28791034103962804,0.13436514329245636,1.0,0.0386851142291696
NY,ushouse,NY-03,0.5325698634044623,0.41729016879215797,0.6463164837249767,12.5,0.3532746532389905,0.008682170542635658,0.03833988484764238
TX,ushouse,TX-24,0.49310286230685707,0.3776822548392605,0.6094903418378063,12.5,0.3532746532389905,0.008682170542635658,0.03833988484764238
PA,ushouse,PA-10,0.466380416591265,0.3501423555648458,0.5812709695706478,12.5,0.3532746532389905,0.008527131782945736,0.037655244046791624
TX,ushouse,TX-32,0.5315326409548073,0.41896649907187744,0.6423756022406362,12.5,0.3532746532389905,0.008527131782945736,0.037655244046791624
MI,ushouse,MI-03,0.4702477646870361,0.35761032073357324,0.5820553017866447,12.5,0.3532746532389905,0.008527131782945736,0.037655244046791624
CO,statesenate,,0.5709,0.45714285714285713,0.6857142857142857,0.2176089139727764,0.17255357435671137,1.0,0.03754919591788468
NC,ushouse,NC-01,0.5420151517737408,0.4284282023143535,0.659128207810151,12.5,0.3532746532389905,0.008372093023255815,0.03697060324594087
CO,ushouse,CO-03,0.4677591618167432,0.35291001707713177,0.582303186636218,12.5,0.3532746532389905,0.008217054263565891,0.03628596244509011
NJ,ushouse,NJ-05,0.5395536432963458,0.4262931028724403,0.6531625925780922,12.5,0.3532746532389905,0.008217054263565891,0.03628596244509011
NY,ushouse,NY-04,0.5446659609499458,0.4318168539451689,0.6592358833583,12.5,0.3532746532389905,0.00806201550387597,0.035601321644239355
GA,ushouse,GA-06,0.5451981497071114,0.4311721189138588,0.6588135310768775,12.5,0.3532746532389905,0.00806201550387597,0.035601321644239355
VA,ushouse,VA-05,0.47428017606895917,0.3602239272623159,0.588155426021118,12.5,0.3532746532389905,0.007906976744186046,0.034916680843388594
TX,ushouse,TX-10,0.4640808642885297,0.3464911084091103,0.5784529110354346,12.5,0.3532746532389905,0.007906976744186046,0.034916680843388594
CA,ushouse,CA-22,0.45808726639420766,0.34340779731093724,0.5713959063923973,12.5,0.3532746532389905,0.007906976744186046,0.034916680843388594
IN,ushouse,IN-05,0.4785436205816348,0.36447658050819703,0.5950487273456213,12.5,0.3532746532389905,0.007596899224806201,0.03354739924168708
NM,ushouse,NM-02,0.46152456753957377,0.34563670517572875,0.5769156679431242,12.5,0.3532746532389905,0.007596899224806201,0.03354739924168708
AZ,ushouse,AZ-06,0.4794085651739526,0.36281976261891163,0.5938440307929707,12.5,0.3532746532389905,0.007596899224806201,0.03354739924168708
NJ,ushouse,NJ-11,0.5326377144237419,0.4193101558821826,0.6463704710700406,12.5,0.3532746532389905,0.0074418604651162795,0.032862758440836325
IL,ushouse,IL-06,0.5365709686501681,0.4215823310021545,0.6496649977705279,12.5,0.3532746532389905,0.0074418604651162795,0.032862758440836325
AK,ushouse,AK-01,0.4539570329936878,0.34139764206192735,0.5707984802502376,12.5,0.3532746532389905,0.007286821705426357,0.03217811763998557
AZ,ushouse,AZ-02,0.5514672243460338,0.43761530964031403,0.6675843428497968,12.5,0.3532746532389905,0.007286821705426357,0.03217811763998557
NC,ushouse,NC-08,0.46756106240090556,0.3539472505567667,0.5803499424746246,12.5,0.3532746532389905,0.007286821705426357,0.03217811763998557
NH,ushouse,NH-02,0.5526920560310744,0.4390009234045891,0.6658709666149879,12.5,0.3532746532389905,0.007286821705426357,0.03217811763998557
OH,ushouse,OH-01,0.46367605861938443,0.3474178721815636,0.5781946769377145,12.5,0.3532746532389905,0.0069767441860465115,0.030808836038284052
IL,ushouse,IL-13,0.4554808427451744,0.34045234967264004,0.5709572725250719,12.5,0.3532746532389905,0.006821705426356589,0.030124195237433295
TX,ushouse,TX-22,0.46377652429088045,0.34812236995343826,0.5823098733712653,12.5,0.3532746532389905,0.006821705426356589,0.030124195237433295
WA,statesenate,,0.5917571428571429,0.46938775510204084,0.7142857142857143,0.28791034103962804,0.10445981401269361,1.0,0.030075060677330734
CT,president,,0.6015047666824186,0.48586785557742096,0.7140408257771945,25.0,0.14825317267979313,0.008059100067159167,0.02986967884750701
CA,ushouse,CA-10,0.5514641297743286,0.43706194773364654,0.6680275944243068,12.5,0.3532746532389905,0.006666666666666667,0.02943955443658254
CA,ushouse,CA-03,0.5535105024951915,0.4396016005286423,0.6692850630465165,12.5,0.3532746532389905,0.006666666666666667,0.02943955443658254
NJ,ushouse,NJ-02,0.47237721921494613,0.3556922669888732,0.5858442423869861,12.5,0.3532746532389905,0.0065116279069767444,0.028754913635731783
TX,ushouse,TX-31,0.45321321577774,0.3372324012169373,0.5662626138732153,12.5,0.3532746532389905,0.0065116279069767444,0.028754913635731783
MI,ushouse,MI-05,0.5664040312680283,0.4517776338926807,0.681535564540085,12.5,0.3532746532389905,0.0065116279069767444,0.028754913635731783
PA,ushouse,PA-06,0.5610079924878816,0.4499847888012603,0.6730803577678611,12.5,0.3532746532389905,0.006356589147286822,0.028070272834881026
FL,ushouse,FL-09,0.5604119362835784,0.4467864804994359,0.6725555102952351,12.5,0.3532746532389905,0.006356589147286822,0.028070272834881026
GA,statesenate,,0.39259285714285713,0.2857142857142857,0.5,0.4019148113011762,0.06945367073454536,1.0,0.027914458967448822
NY,ushouse,NY-22,0.45682439466469815,0.34269504582257737,0.572059183222082,12.5,0.3532746532389905,0.006201550387596899,0.027385632034030268
MN,ushouse,MN-03,0.5564796783485585,0.4436391464298033,0.6699285613382462,12.5,0.3532746532389905,0.0060465116279069765,0.02670099123317951
CA,ushouse,CA-50,0.46078209025873784,0.3459880914801232,0.5758065887956035,12.5,0.3532746532389905,0.005891472868217054,0.026016350432328753
NY,ushouse,NY-20,0.5661409369921232,0.4533739060340324,0.678319668809822,12.5,0.3532746532389905,0.005736434108527132,0.025331709631478
TX,ushouse,TX-06,0.45391304058943144,0.34092753638969375,0.5684270274571555,12.5,0.3532746532389905,0.005736434108527132,0.025331709631478
KS,president,,0.4223529243658306,0.30907480926854836,0.5350352361861027,25.0,0.14825317267979313,0.006715916722632639,0.024891399039589177
DE,president,,0.5966671170806496,0.4822433018012256,0.7110095564722055,25.0,0.14825317267979313,0.006715916722632639,0.024891399039589177
MT,president,,0.4160805197594595,0.3031206619764562,0.5309372997121554,25.0,0.14825317267979313,0.006715916722632639,0.024891399039589177
DE,ussenate,DE,0.6111754595756458,0.49921846373636414,0.7266780703370691,12.5,0.49661610501116144,0.003976933784052496,0.024687617071543124
KS,ushouse,KS-03,0.5498289848951423,0.43698095520403496,0.6639187895323664,12.5,0.3532746532389905,0.005581395348837209,0.024647068830627242
CT,ushouse,CT-05,0.5594679735721285,0.4459075801025796,0.6740864054573585,12.5,0.3532746532389905,0.005271317829457364,0.023277787228925727
IL,statehouse,,0.6188805084745763,0.5084745762711864,0.7288135593220338,0.48679508853561504,0.04755782181469435,1.0,0.023150914080845138
AR,ushouse,AR-02,0.44585268584331106,0.33256188557084415,0.5619639787433567,12.5,0.3532746532389905,0.0051162790697674414,0.02259314642807497
TN,ussenate,TN,0.36167661269967255,0.24690332164618664,0.4746562873351215,12.5,0.49661610501116144,0.003579240405647246,0.02221885536438881
CA,ushouse,CA-07,0.5686201689436248,0.4543453142156881,0.682014252305765,12.5,0.3532746532389905,0.00496124031007752,0.02190850562722422
VA,ushouse,VA-10,0.565445041969487,0.4511085452559171,0.679577884776146,12.5,0.3532746532389905,0.004806201550387597,0.02122386482637346
IL,ushouse,IL-03,0.5589430282936655,0.44528605302577595,0.6704846501951085,12.5,0.3532746532389905,0.004806201550387597,0.02122386482637346
FL,ushouse,FL-16,0.4450941289253998,0.33157528123886726,0.56123998506602,12.5,0.3532746532389905,0.004651162790697674,0.020539224025522704
NV,statesenate,,0.5720619047619048,0.47619047619047616,0.6666666666666666,0.11593421611761029,0.17660527076364194,1.0,0.020474593628221145
RI,president,,0.6052214232701403,0.49189398940768664,0.719422132468149,25.0,0.14825317267979313,0.005372733378106112,0.019913119231671342
MT,ushouse,MT-01,0.4404758658671383,0.3288612401764075,0.5534786492322397,12.5,0.3532746532389905,0.004496124031007752,0.019854583224671946
TX,ushouse,TX-34,0.5696949280971347,0.455966429985196,0.6840453796662449,12.5,0.3532746532389905,0.004496124031007752,0.019854583224671946
WA,ushouse,WA-03,0.4349233917498601,0.3189815687028326,0.5494132244595508,12.5,0.3532746532389905,0.004341085271317829,0.01916994242382119
PA,ushouse,PA-01,0.43406907374263665,0.3201764816957976,0.5513326663596017,12.5,0.3532746532389905,0.004341085271317829,0.01916994242382119
MN,ushouse,MN-07,0.42968443995264005,0.3135490878008953,0.5450101929415041,12.5,0.3532746532389905,0.004186046511627907,0.018485301622970435
NC,ushouse,NC-09,0.4452472857221566,0.33114924854878014,0.5599182140173004,12.5,0.3532746532389905,0.004186046511627907,0.018485301622970435
CA,ushouse,CA-09,0.5789620268034712,0.4668888851789797,0.6932719736303599,12.5,0.3532746532389905,0.004031007751937985,0.017800660822119677
CA,ushouse,CA-08,0.4394891489811751,0.3259621735187021,0.5538448850863754,12.5,0.3532746532389905,0.004031007751937985,0.017800660822119677
FL,ushouse,FL-07,0.5613695732865305,0.4476472530539131,0.674710792591845,12.5,0.3532746532389905,0.004031007751937985,0.017800660822119677
LA,president,,0.4060336647990184,0.29182453112958,0.5184806229771165,25.0,0.14825317267979313,0.0047011417058428475,0.017423979327712422
NY,ushouse,NY-17,0.5756687384297519,0.4619763173209862,0.6887511158717109,12.5,0.3532746532389905,0.003875968992248062,0.01711602002126892
IN,governor,,0.37000081980215693,0.2550270299695899,0.48546275597615135,0.5113496412359917,0.033146570654973645,1.0,0.016949487012624224
NY,ushouse,NY-02,0.4256153375047047,0.3095450471780413,0.5417699189513139,12.5,0.3532746532389905,0.0037209302325581397,0.016431379220418162
CA,ushouse,CA-04,0.44348608544244655,0.32998691899316723,0.5545334748966065,12.5,0.3532746532389905,0.0037209302325581397,0.016431379220418162
TX,ushouse,TX-03,0.43757175328281567,0.3231827872634006,0.5507533084804542,12.5,0.3532746532389905,0.0037209302325581397,0.016431379220418162
RI,ushouse,RI-02,0.5837590149932522,0.47118382629356453,0.6959986751017138,12.5,0.3532746532389905,0.0037209302325581397,0.016431379220418162
FL,ushouse,FL-03,0.42828089339887654,0.3149101390331508,0.5443882253174153,12.5,0.3532746532389905,0.0037209302325581397,0.016431379220418162
FL,ushouse,FL-15,0.4455447580082473,0.3333445656242652,0.5586194493317346,12.5,0.3532746532389905,0.003565891472868217,0.015746738419567405
MT,governor,,0.4349798688914726,0.3213455286048522,0.5490921911643668,0.08117441481049119,0.1856170551619991,1.0,0.01506735583162194
TX,ushouse,TX-02,0.42907821183261957,0.3136201603852271,0.5443326105044952,12.5,0.3532746532389905,0.0034108527131782944,0.015062097618716647
FL,ushouse,FL-18,0.42413547252435985,0.3112573238879449,0.5365487934026739,12.5,0.3532746532389905,0.0034108527131782944,0.015062097618716647
NH,statehouse,,0.46721375000000004,0.3525,0.58,0.051825833618880296,0.2843889583028342,1.0,0.014738694836049372
NM,ushouse,NM-01,0.5816779808533271,0.46838719110680765,0.6948888809750953,12.5,0.3532746532389905,0.0032558139534883722,0.014377456817865892
OH,ushouse,OH-12,0.43177784167574357,0.31604446627262445,0.5490749079298491,12.5,0.3532746532389905,0.0032558139534883722,0.014377456817865892
CA,ushouse,CA-16,0.5938099600163746,0.48099636948886343,0.7081187910494866,12.5,0.3532746532389905,0.0032558139534883722,0.014377456817865892
MA,ushouse,MA-04,0.5935872319483128,0.47770570818793695,0.7080400210568276,12.5,0.3532746532389905,0.0032558139534883722,0.014377456817865892
NJ,statesenate,,0.62459,0.5,0.75,0.3403654778183088,0.04120876264326423,1.0,0.014026040187375903
NM,ushouse,NM-03,0.5798883449508055,0.4657505784170135,0.6932575821071182,12.5,0.3532746532389905,0.0031007751937984496,0.013692816017015134
CA,ushouse,CA-01,0.43139970798739397,0.3187622189197124,0.5427650710666427,12.5,0.3532746532389905,0.0031007751937984496,0.013692816017015134
CO,ushouse,CO-06,0.5885257279241531,0.4754020455752185,0.7052963935917054,12.5,0.3532746532389905,0.0031007751937984496,0.013692816017015134
