request,Election_Jurisdiction:token,Election_Jurisdiction:id,Election_Jurisdiction,Election_Year:token,Election_Year:id,Election_Year,General_Office:token,General_Office:id,General_Office,#_of_Records,Total_$
dt=1&y=2022&s=NE&y=2022&c-r-ot=O,s,NE,NE,y,2022,2022,c-r-ot,O,Other Statewide,2438,2162340.52
dt=1&y=2022&s=NH&y=2022&c-r-ot=G,s,NH,NH,y,2022,2022,c-r-ot,G,Gubernatorial,12046,2153891.01
dt=1&y=2022&s=RI&y=2022&c-r-ot=O,s,RI,RI,y,2022,2022,c-r-ot,O,Other Statewide,4481,2068150.87
dt=1&y=2022&s=IN&y=2022&c-r-ot=O,s,IN,IN,y,2022,2022,c-r-ot,O,Other Statewide,3600,2066227.95
dt=1&y=2022&s=WV&y=2022&c-r-ot=S,s,WV,WV,y,2022,2022,c-r-ot,S,State Senate,3021,2021779.08
dt=1&y=2022&s=NC&y=2022&c-r-ot=J,s,NC,NC,y,2022,2022,c-r-ot,J,State Supreme Court,6902,1728780.05
dt=1&y=2022&s=IL&y=2022&c-r-ot=K,s,IL,IL,y,2022,2022,c-r-ot,K,Appellate Court,1422,1630127.31
dt=1&y=2022&s=NH&y=2022&c-r-ot=S,s,NH,NH,y,2022,2022,c-r-ot,S,State Senate,3865,1550216.39
dt=1&y=2022&s=WY&y=2022&c-r-ot=O,s,WY,WY,y,2022,2022,c-r-ot,O,Other Statewide,1214,1429528.27
dt=1&y=2022&s=OR&y=2022&c-r-ot=O,s,OR,OR,y,2022,2022,c-r-ot,O,Other Statewide,819,1322649.6
dt=1&y=2022&s=WY&y=2022&c-r-ot=H,s,WY,WY,y,2022,2022,c-r-ot,H,State House/Assembly,2554,1314807.88
dt=1&y=2022&s=TX&y=2022&c-r-ot=J,s,TX,TX,y,2022,2022,c-r-ot,J,State Supreme Court,1286,1295520.86
dt=1&y=2022&s=SD&y=2022&c-r-ot=H,s,SD,SD,y,2022,2022,c-r-ot,H,State House/Assembly,2354,1291214.42
dt=1&y=2022&s=MO&y=2022&c-r-ot=O,s,MO,MO,y,2022,2022,c-r-ot,O,Other Statewide,824,1286489.48
dt=1&y=2022&s=VT&y=2022&c-r-ot=G,s,VT,VT,y,2022,2022,c-r-ot,G,Gubernatorial,2513,1244660.55
dt=1&y=2022&s=MT&y=2022&c-r-ot=H,s,MT,MT,y,2022,2022,c-r-ot,H,State House/Assembly,7248,1235110.7
dt=1&y=2022&s=NM&y=2022&c-r-ot=J,s,NM,NM,y,2022,2022,c-r-ot,J,State Supreme Court,604,1154787.0
dt=1&y=2022&s=KY&y=2022&c-r-ot=J,s,KY,KY,y,2022,2022,c-r-ot,J,State Supreme Court,1670,1117750.63
dt=1&y=2022&s=LA&y=2022&c-r-ot=S,s,LA,LA,y,2022,2022,c-r-ot,S,State Senate,2044,1113011.95
dt=1&y=2022&s=DE&y=2022&c-r-ot=H,s,DE,DE,y,2022,2022,c-r-ot,H,State House/Assembly,4324,1026816.1
dt=1&y=2022&s=WY&y=2022&c-r-ot=G,s,WY,WY,y,2022,2022,c-r-ot,G,Gubernatorial,1567,1011631.3
dt=1&y=2022&s=VT&y=2022&c-r-ot=H,s,VT,VT,y,2022,2022,c-r-ot,H,State House/Assembly,2719,967553.77
dt=1&y=2022&s=MT&y=2022&c-r-ot=J,s,MT,MT,y,2022,2022,c-r-ot,J,State Supreme Court,3113,910271.7
dt=1&y=2022&s=KY&y=2022&c-r-ot=K,s,KY,KY,y,2022,2022,c-r-ot,K,Appellate Court,1379,907028.86
dt=1&y=2022&s=MT&y=2022&c-r-ot=S,s,MT,MT,y,2022,2022,c-r-ot,S,State Senate,5439,883429.27
dt=1&y=2022&s=NM&y=2022&c-r-ot=K,s,NM,NM,y,2022,2022,c-r-ot,K,Appellate Court,390,857457.25
dt=1&y=2022&s=WI&y=2022&c-r-ot=K,s,WI,WI,y,2022,2022,c-r-ot,K,Appellate Court,1260,803108.96
