request,Election_Jurisdiction:token,Election_Jurisdiction:id,Election_Jurisdiction,Election_Year:token,Election_Year:id,Election_Year,General_Office:token,General_Office:id,General_Office,#_of_Records,Total_$
dt=1&y=2022&s=OR&y=2022&c-r-ot=H,s,OR,OR,y,2022,2022,c-r-ot,H,State House/Assembly,12102,8218670.73
dt=1&y=2022&s=SC&y=2022&c-r-ot=G,s,SC,SC,y,2022,2022,c-r-ot,G,Gubernatorial,47590,8210279.16
dt=1&y=2022&s=MO&y=2022&c-r-ot=H,s,MO,MO,y,2022,2022,c-r-ot,H,State House/Assembly,30926,7923588.98
dt=1&y=2022&s=IN&y=2022&c-r-ot=H,s,IN,IN,y,2022,2022,c-r-ot,H,State House/Assembly,10815,7759903.58
dt=1&y=2022&s=AZ&y=2022&c-r-ot=S,s,AZ,AZ,y,2022,2022,c-r-ot,S,State Senate,88306,7551088.9
dt=1&y=2022&s=MO&y=2022&c-r-ot=S,s,MO,MO,y,2022,2022,c-r-ot,S,State Senate,9245,7323562.98
dt=1&y=2022&s=TN&y=2022&c-r-ot=H,s,TN,TN,y,2022,2022,c-r-ot,H,State House/Assembly,9300,7217158.18
dt=1&y=2022&s=MA&y=2022&c-r-ot=S,s,MA,MA,y,2022,2022,c-r-ot,S,State Senate,32373,7166575.8
dt=1&y=2022&s=CO&y=2022&c-r-ot=H,s,CO,CO,y,2022,2022,c-r-ot,H,State House/Assembly,38857,7147632.31
dt=1&y=2022&s=WA&y=2022&c-r-ot=S,s,WA,WA,y,2022,2022,c-r-ot,S,State Senate,23066,7134160.19
dt=1&y=2022&s=ME&y=2022&c-r-ot=G,s,ME,ME,y,2022,2022,c-r-ot,G,Gubernatorial,44112,7132888.72
dt=1&y=2022&s=AK&y=2022&c-r-ot=G,s,AK,AK,y,2022,2022,c-r-ot,G,Gubernatorial,15312,7085119.54
dt=1&y=2022&s=KS&y=2022&c-r-ot=G,s,KS,KS,y,2022,2022,c-r-ot,G,Gubernatorial,39784,6744816.22
dt=1&y=2022&s=WI&y=2022&c-r-ot=H,s,WI,WI,y,2022,2022,c-r-ot,H,State House/Assembly,33548,6500374.06
dt=1&y=2022&s=SC&y=2022&c-r-ot=H,s,SC,SC,y,2022,2022,c-r-ot,H,State House/Assembly,15354,6385097.05
dt=1&y=2022&s=AR&y=2022&c-r-ot=H,s,AR,AR,y,2022,2022,c-r-ot,H,State House/Assembly,13380,6295065.41
dt=1&y=2022&s=NM&y=2022&c-r-ot=O,s,NM,NM,y,2022,2022,c-r-ot,O,Other Statewide,16341,6273225.45
dt=1&y=2022&s=IL&y=2022&c-r-ot=J,s,IL,IL,y,2022,2022,c-r-ot,J,State Supreme Court,2518,6262460.75
dt=1&y=2022&s=TN&y=2022&c-r-ot=G,s,TN,TN,y,2022,2022,c-r-ot,G,Gubernatorial,4041,6053592.01
dt=1&y=2022&s=AZ&y=2022&c-r-ot=H,s,AZ,AZ,y,2022,2022,c-r-ot,H,State House/Assembly,24897,5846761.28
dt=1&y=2022&s=IN&y=2022&c-r-ot=S,s,IN,IN,y,2022,2022,c-r-ot,S,State Senate,8696,5816344.83
