state,governor,statehouse,statesenate,president,ushouse,ussenate,sum
NC,22.263437207143085,12.144477469915637,10.820245914985,11.36756787598924,12.510935294049567,37.039626820562546,106.14629058264507
PA,0.0,13.44316465466183,9.786481093435071,56.8870496304916,13.849441471797231,0.0,93.96613685038574
GA,0.0,0.23406338402299143,0.27919703226785425,8.797699236395712,9.833922938554242,62.67465102258492,81.81953361382571
TX,0.0,30.970474169311707,0.7358513660440111,6.599641378700824,30.567110467339443,12.476987266563357,81.35006464795934
AZ,0.0,8.527211948812731,7.575838288057768,9.18591343514282,8.249568687342727,43.1294472113239,76.66797957067995
MI,0.0,12.42037092481306,0.0,29.269163463285423,5.92767021573964,22.01086074545788,69.628065349296
IA,0.0,3.92002555707424,0.09359136784068549,1.0498186783020365,12.510935294049567,49.164436088358116,66.73880698562465
ME,0.0,1.0583615346747337,0.035076716410887755,0.44836006052482813,4.835012111455836,47.75548926881705,54.13229969188333
CO,0.0,0.15476142607171642,0.12420438037286895,5.424063171227188,2.704328808102417,37.65803706210612,46.065394847880306
MN,0.0,4.407450789818923,6.567079044399074,10.634881923424276,7.675923182593729,15.576670269553697,44.8620052097897
SC,0.0,0.13406167422472787,0.13381373966186041,0.0273390280807822,4.5891640379919805,35.47416949181746,40.358547971776815
FL,0.0,0.4763602492728094,0.500927493603109,30.783745618960758,7.921771256057587,0.0,39.68280461789426
MT,2.6536120038210385,0.02603243021767714,0.025912200571330687,0.0,1.4204555355689463,33.446812430732834,37.57282460091183
NM,0.0,0.06262548995466405,0.06176377241228272,5.664646618338072,5.244758900562264,23.365034757389285,34.398829538656564
AK,0.0,0.8737362703666594,0.014562624015715796,0.09842050109081593,0.49169614692771213,30.777680093347254,32.25609563574815
CA,0.0,1.004377672124099,1.0211227124095064,0.0,29.283237194805956,0.0,31.308737579339564
VA,0.0,0.0,0.0,8.316532342173947,12.866049177941804,7.138663885674716,28.321245405790467
WI,0.0,0.18821843248265668,0.1728276679179568,19.744246079940904,5.845720857918356,0.0,25.951013038259873
KS,0.0,0.0776033506767525,0.07125442802800393,0.0,5.190125995348073,20.594106012291864,25.93308978634469
MS,0.0,0.0,0.0,0.010935611232312882,0.21853162085676098,23.051955032863766,23.281422264952838
NH,2.0432352745571998,1.061465354419091,1.3025059381086925,5.243625585894026,6.118885383989308,6.097628304386314,21.867345841354634
NY,0.0,0.5118318009129584,0.554544406082373,0.0,18.547871320217588,0.0,19.614247527212918
LA,0.0,0.0,0.0,0.0,0.21853162085676098,17.228308178760706,17.446839799617468
NJ,0.0,0.0,0.0,0.33353614258554287,15.433795723008744,0.0547728076096588,15.822104673203945
NV,0.0,0.06786865964689318,0.10721086514532446,6.85116043704402,5.818404405311261,0.0,12.844644367147499
MO,9.613208289580557,0.1482652831954316,0.1574252719432056,0.0,2.540430092459846,0.0,12.45932893717904
IL,0.0,0.26895191992484957,0.3297598561883342,0.6397332570903035,5.736455047489973,2.6222261495183594,9.59712623021182
MA,0.0,0.15072705789120253,0.16371071553034103,0.0,2.1306833033534196,6.528120263873589,8.973241340648553
NE,0.0,0.0,0.03970736209307158,0.0,3.6604046493507467,5.197428698934536,8.897540710378355
TN,0.0,0.1532482717134087,0.21388035268222072,0.0,0.7375442203915682,7.725725060483492,8.83039790527069
AL,0.0,0.0,0.0,0.0,0.19121516824966586,7.342197994980919,7.533413163230584
OR,0.0,0.09483567052674592,0.10542058125120111,0.010935611232312882,5.791087952704165,1.4481037999008077,7.450383615615233
WV,0.10596857453785896,0.043628873411317985,1.299734563089967,0.0,0.0,5.823646854103058,7.272978865142202
OH,0.0,0.29132886337386854,0.3925487819310643,1.2904021254129199,4.753062753634551,0.0,6.727342524352403
KY,0.0,0.10008094567608057,0.0998708129803469,0.0,0.19121516824966586,6.097628304386314,6.488795231292407
AR,0.0,0.07068539994671695,0.06082149963925331,0.0,1.2019239147121854,4.74345429245491,6.076885106753066
DE,0.05085564191848434,0.02174838855871735,0.04041887070979911,0.005467805616156441,0.21853162085676098,5.314840933896292,5.65186326155621
SD,0.0,0.022335144594535044,0.02242607546281064,0.0,0.0,4.633849971118112,4.678611191175457
UT,0.1417415948553808,0.082721302423487,0.09216065900437985,0.0,4.31599951192103,0.0,4.6326230682042775
IN,0.34354430403846564,0.1630570970511726,0.17189088482111192,0.0,3.578455291529461,0.0,4.256947577440211
CT,0.0,0.08646609383975262,2.6787674902550616,0.010935611232312882,1.338506177747661,0.0,4.114675373074788
OK,0.0,0.06598292567895707,0.10304988232421228,0.0,3.578455291529461,0.33656217151787127,4.084050271050502
WY,0.0,0.014412929964664593,0.014516567804615526,0.0,0.0,3.804156412760868,3.8330859105301487
WA,0.3837197663835787,0.19670561461991293,0.19260279506319816,0.005467805616156441,1.994101040317944,0.0,2.7725970220007903
MD,0.0,0.0,0.0,0.010935611232312882,1.9121516824966582,0.0,1.9230872937289711
RI,0.0,0.025147722021246925,0.03315954781746014,0.0,0.46437969432061704,0.7279558567628822,1.2506428209222062
HI,0.0,0.03585742970378436,0.05254499129297022,0.0,0.7102277677844732,0.0,0.7986301887812278
VT,0.03482063592502851,0.016750235583260574,0.018083387036597617,0.0,0.24584807346385606,0.0,0.3155023320087428
ID,0.0,0.05183657724539247,0.049582666653589125,0.0,0.0,0.0,0.1014192438989816
ND,0.03705814200342957,0.01745675930131379,0.01800289581482934,0.0,0.0,0.0,0.0725177971195727
DC,0.0,0.0,0.0,0.0,0.0,0.0,0.0
