state_abbr,governor,statehouse,statesenate,ushouse,ussenate,sum
GA,64.02899514066576,1.5205246390601002,1.5205246390601002,3.3488359374999996,247.53140859375003,317.950288950036
AZ,66.33400465476066,1.024468738798136,1.024468738798136,51.38279140624999,174.96147656250002,294.72721010110695
PA,71.37857878559119,1.8252739573196668,1.8252739573196668,62.215547656249996,154.90002890625004,292.1447032627305
NV,26.02872331941994,1.2686898429323687,5.047028446200899,38.65721484375,217.66971328125004,288.67136973355326
WI,44.210962497430046,0.1650970674812503,0.1650970674812503,29.498876562499998,199.23161953125,273.2716527261426
NC,0.0,1.485550603766359,1.485550603766359,39.60362499999999,162.6961359375,205.2708621450327
OH,8.343681369513268,0.32986373966135085,0.32986373966135085,60.1334453125,107.38185468750004,176.518708848836
CA,0.6873926618151693,1.434758374542694,1.434758374542694,148.06222890625006,0.9419460937500003,152.5610844109006
NH,0.10021443776336329,0.1955630957260103,0.1955630957260103,14.691197656249996,136.30160390625002,151.4841421917154
FL,62.327776136093114,0.6099145982660772,3.066673400627566,39.7492265625,41.5658765625,147.31946725998677
MI,33.85839650466047,10.56391364189499,28.62133513139435,69.00058046874999,0.0,142.0442257466998
NY,6.307500314303395,0.725313758216694,8.004355403177087,123.86324921875,0.7615734375000001,139.6619921319472
CO,8.742552345637112,2.345335246418355,0.0,32.19250546875,72.02881406250002,115.30920712330548
TX,58.32662912915041,0.8268406609905341,0.8268406609905341,50.58198281249997,0.0,110.56229326363145
OR,28.12014860387072,1.7134443832747908,6.81632519685272,39.137699999999995,8.11676953125,83.90438771524823
IA,1.121199001853102,0.44956948214079945,0.44956948214079945,61.472979687499986,7.335154687500001,70.82847234113468
IL,6.010566905438301,5.113298357193892,5.113298357193892,39.48714375,5.150641406250001,60.874948776076074
MN,19.915090271754423,16.25273044290344,5.998757222737056,11.10939921875,0.0,53.27597715614492
KS,24.888523751818088,0.0821740913330504,0.0,23.645693749999992,0.7615734375000001,49.37796503065113
NM,11.316194271531723,0.8538165849692994,0.0,26.25196171875,0.0,38.421972575251026
CT,10.361940078378733,1.4549610007176932,1.4549610007176932,16.452976562499995,5.4512625,35.17610114231411
NJ,0.0,0.0,0.0,34.40564921874999,0.0,34.40564921874999
VA,0.0,0.0,0.0,32.7603515625,0.0,32.7603515625
WA,0.0,0.2829705785764166,0.2829705785764166,11.45884296875,20.041406250000005,32.066190375902835
ME,7.226860905226864,3.9076987190437165,3.9076987190437165,16.569457812499998,0.0,31.611716155814296
NE,0.37060295619066896,0.0,0.0,26.222841406249998,0.0,26.593444362440664
MD,7.884247889954489,0.4508643373139142,0.4508643373139142,17.006262499999995,0.26053828125,26.05277734583231
LA,0.0,0.0,0.0,0.2620828125,19.2798328125,19.541915625
IN,0.0,0.19058102073868477,0.19058102073868477,10.570673437499998,4.1285296875,15.080365166477366
AK,1.4181923209899214,0.7700765937940857,0.103156677673351,9.20201875,1.50310546875,12.996549811207359
RI,1.2690513185853716,0.040061730793021326,0.040061730793021326,10.454192187499999,0.0,11.803366967671412
UT,0.0,0.09346989197011327,0.09346989197011327,0.39312421875,7.635775781250001,8.215839783940227
MO,0.0,0.1727214171890014,0.1727214171890014,2.9411515624999995,4.6896890625,7.976283459378003
SC,5.4008911532861426,0.1453499908174048,0.0,2.1257828125,0.240496875,7.912520831603547
TN,0.20393614499637178,0.19531987894696318,0.19531987894696318,5.824062499999999,0.0,6.418638402890298
MT,0.0,0.030921768759720768,0.030921768759720768,2.08210234375,0.0,2.1439458812694414
OK,1.2957153068020564,0.11163376497841968,0.11163376497841968,0.10192109375,0.26053828125,1.881442211758896
VT,0.30458283066790776,0.023605709648552662,0.023605709648552662,0.05824062499999999,1.2024843750000003,1.612519249965013
MA,0.542017306567409,0.2554011851752214,0.2554011851752214,0.46592500000000003,0.0,1.5187446769178519
KY,0.0,0.12627193733646205,0.12627193733646205,0.407684375,0.6413250000000001,1.301553249672924
AL,0.035126734342470475,0.2822530179121524,0.2822530179121524,0.04368046874999999,0.3206625000000001,0.9639757389167755
AR,0.061631311707122126,0.08473092365381345,0.08473092365381345,0.26208281249999993,0.06012421875,0.553300190264749
DE,0.0,0.036689423873481355,0.036689423873481355,0.4513648437499999,0.0,0.5247436914969626
HI,0.10834630519908474,0.05271137376427038,0.05271137376427038,0.029120312499999995,0.20041406250000002,0.4433034277276255
WV,0.0,0.0499263730606554,0.0499263730606554,0.11648124999999998,0.0,0.21633399612131077
ID,0.003930762887307715,0.05322959802080711,0.05322959802080711,0.0,0.04008281250000001,0.15047277142892193
SD,0.04700619881914051,0.025072296225295915,0.025072296225295915,0.0,0.020041406250000005,0.11719219751973234
ND,0.0,0.0217000743991358,0.0217000743991358,0.014560156249999998,0.0,0.057960305048271606
MS,0.0,0.0,0.0,0.04368046874999999,0.0,0.04368046874999999
WY,0.0009063180062426371,0.01620762704393456,0.01620762704393456,0.0,0.0,0.033321572094111754
