jacobsonforecastnumeric,jacobsonforecast,mean,std,pr_close,CI80_lower,CI80_upper
1.0,Safe R,28.697171428701967,9.083161581989877,0.0037174721189591076,15.991489361702127,40.32258
2.0,Likely R,38.82698722263643,6.436138242726354,0.018691588785046728,30.0,45.900000000000006
3.0,Lean R,42.84892865567422,6.444748832384931,0.13953488372093023,35.67676767676768,50.63335408163265
4.0,Toss-up,50.385231975620336,6.223403391675823,0.3780487804878049,41.666666666666664,58.192255701492535
5.0,Lean D,55.589494177059294,5.377860660752396,0.21311475409836064,49.25373134328358,63.2653
6.0,Likely D,58.60667168930477,5.866416672997279,0.05357142857142857,51.93192642857143,64.857145
7.0,Safe D,72.24715618408483,10.883516565132293,0.0048543689320388345,60.0,87.5
