year,state,body,party,count
2021,HI,statehouse,rep,4
2021,ID,statehouse,rep,58
2021,IL,statehouse,rep,45
2021,IN,statehouse,rep,71
2021,IA,statehouse,rep,59
2021,KS,statehouse,rep,84
2021,KY,statehouse,rep,75
2021,LA,statehouse,rep,67
2021,ME,statehouse,rep,66
2021,MD,statehouse,rep,42
2021,MA,statehouse,rep,30
2021,MI,statehouse,rep,58
2021,MN,statehouse,rep,64
2021,MS,statehouse,rep,75
2021,MO,statehouse,rep,114
2021,MT,statehouse,rep,67
2021,NE,statehouse,rep,0
2021,NV,statehouse,rep,16
2021,NH,statehouse,rep,213
2021,NJ,statehouse,rep,28
2021,NM,statehouse,rep,24
2021,NY,statehouse,rep,43
2021,NC,statehouse,rep,69
2021,ND,statehouse,rep,80
2021,OH,statehouse,rep,64
2021,OK,statehouse,rep,82
2021,OR,statehouse,rep,23
2021,PA,statehouse,rep,112
2021,RI,statehouse,rep,10
2021,SC,statehouse,rep,81
2021,SD,statehouse,rep,62
2021,TN,statehouse,rep,73
2021,TX,statehouse,rep,82
2021,UT,statehouse,rep,58
2021,VT,statehouse,rep,46
2021,VA,statehouse,rep,45
2021,WA,statehouse,rep,41
2021,WV,statehouse,rep,77
2021,WI,statehouse,rep,60
2021,WY,statehouse,rep,51
2021,AZ,statehouse,vacant,1
2021,GA,statehouse,vacant,1
2021,LA,statehouse,vacant,1
2021,MA,statehouse,vacant,1
2021,MO,statehouse,vacant,1
2021,PA,statehouse,vacant,1
2021,TX,statehouse,vacant,1
2021,WI,statehouse,vacant,1
2021,AK,statehouse,other,4
2021,CA,statehouse,other,1
2021,LA,statehouse,other,2
2021,ME,statehouse,other,5
2021,MA,statehouse,other,1
2021,MS,statehouse,other,1
2021,NM,statehouse,other,1
2021,NY,statehouse,other,1
2021,VT,statehouse,other,11
2021,WY,statehouse,other,2
